step,train_loss,train_acc,dev_loss,dev_acc
0,1.7982206344604492,0.155,1.7930541038513184,0.16666666666666666
100,1.1697347164154053,0.5265,1.194818377494812,0.5206481481481482
200,1.0735028982162476,0.62575,1.0538324117660522,0.6155555555555555
300,0.9009307622909546,0.66325,0.9630213975906372,0.6589351851851852
400,0.8498028516769409,0.68525,0.9330546259880066,0.67625
500,0.9455245733261108,0.67175,0.9141864776611328,0.6630092592592592
600,0.8346481919288635,0.7,0.864773690700531,0.6916666666666667
700,0.9270486235618591,0.6875,0.8661081194877625,0.6937962962962962
800,0.819199800491333,0.71625,0.820511519908905,0.7086111111111111
900,0.803566038608551,0.71625,0.8056411147117615,0.721574074074074
1000,0.830018937587738,0.71575,0.799540638923645,0.7168518518518519
1100,0.7527134418487549,0.7455,0.7727779746055603,0.7306944444444444
1200,0.7741237878799438,0.74875,0.7390083074569702,0.746712962962963
1300,0.82570481300354,0.7385,0.7435809373855591,0.7369444444444444
1400,0.6984156966209412,0.7665,0.7065532803535461,0.7651851851851852
1500,0.7017569541931152,0.77825,0.6914541721343994,0.7681018518518519
1600,0.6985297799110413,0.77425,0.6755572557449341,0.7732407407407408
1700,0.6897931694984436,0.753,0.7136989235877991,0.7490277777777777
1800,0.6868221759796143,0.785,0.6426354646682739,0.7823148148148148
1900,0.657880425453186,0.794,0.6308971643447876,0.7876851851851852
2000,0.684701144695282,0.782,0.6380470991134644,0.7827314814814815
2100,0.6235007047653198,0.7825,0.6468251943588257,0.782962962962963
2200,0.5630876421928406,0.7895,0.6292370557785034,0.7918055555555555
2300,0.592504620552063,0.81675,0.599926233291626,0.7971759259259259
2400,0.6080716848373413,0.77225,0.6589517593383789,0.7631481481481481
2500,0.6097251176834106,0.80275,0.592380702495575,0.8033333333333333
2600,0.6023662090301514,0.80675,0.5948852300643921,0.8047222222222222
2700,0.5139521360397339,0.798,0.6116142868995667,0.7940277777777778
2800,0.5928277373313904,0.81625,0.5704248547554016,0.8117592592592593
2900,0.5855101346969604,0.821,0.5675305724143982,0.8151388888888889
3000,0.579652726650238,0.79525,0.5930553674697876,0.7999074074074074
3100,0.5937232375144958,0.80525,0.5959088206291199,0.7976851851851852
3200,0.5672138929367065,0.7925,0.5897237658500671,0.804074074074074
3300,0.5402547121047974,0.81925,0.5544357895851135,0.8178240740740741
3400,0.5180515646934509,0.80875,0.5700702667236328,0.8124074074074074
3500,0.5514524579048157,0.7995,0.5817720293998718,0.8000462962962963
3600,0.5192519426345825,0.8175,0.5604023337364197,0.8128240740740741
3700,0.4973394274711609,0.8155,0.5590856671333313,0.8124074074074074
3800,0.5362385511398315,0.81675,0.5471741557121277,0.8164351851851852
3900,0.5054359436035156,0.8155,0.5422673225402832,0.8214814814814815
