step,train_loss,train_acc,dev_loss,dev_acc
0,1.790854811668396,0.39225,1.6450037956237793,0.3951851851851852
100,0.5916141271591187,0.815,0.5947651863098145,0.8026388888888889
200,0.5963363647460938,0.83,0.5364469289779663,0.8236111111111111
300,0.5881811380386353,0.84325,0.5106189250946045,0.8326388888888889
400,0.5069072842597961,0.86125,0.4980524480342865,0.8422222222222222
500,0.3085552155971527,0.8575,0.4779279828071594,0.8467592592592592
600,0.47800102829933167,0.862,0.46836239099502563,0.8522685185185185
700,0.7217072248458862,0.862,0.45518404245376587,0.8534722222222222
800,0.5021353960037231,0.8635,0.4556645452976227,0.8525925925925926
900,0.3850514590740204,0.86725,0.44483163952827454,0.8596296296296296
1000,0.5069239139556885,0.86925,0.44603103399276733,0.8566203703703704
1100,0.4397801160812378,0.875,0.4418851137161255,0.8590740740740741
1200,0.4323488175868988,0.887,0.42767587304115295,0.8631944444444445
1300,0.2834191918373108,0.87525,0.42501822113990784,0.8639814814814815
1400,0.36168766021728516,0.88975,0.42499130964279175,0.8662962962962963
1500,0.46518826484680176,0.8825,0.4257456660270691,0.8629166666666667
1600,0.48696109652519226,0.894,0.4148247241973877,0.867175925925926
1700,0.48542675375938416,0.88375,0.41275322437286377,0.8687962962962963
1800,0.39261773228645325,0.89075,0.4179578125476837,0.8666666666666667
1900,0.29382288455963135,0.893,0.41355282068252563,0.868287037037037
